Iterations,Theta_mean,Theta_std,Omega_mean,Omega_std,Ret_mean,Ret_std
0.000000000000000000e+00,2.000000000000000111e-01,0.0,8.000000000000000444e-01,0.0,1.173559999999999945e+03,1.571643725530691782e+01
1.000000000000000000e+00,5.403193122311338303e-01,5.799394813435303740e-03,4.596806877688752735e-01,5.799394813368234126e-03,1.344700000000000045e+03,2.592855568673270028e+01
2.000000000000000000e+00,5.752328168054283708e-01,9.456251212821894375e-03,4.247671831945928345e-01,9.456251212811635221e-03,1.405320000000000164e+03,3.577722180382374972e+01
3.000000000000000000e+00,5.965450521494269909e-01,1.283569380512480582e-02,4.034549478506005427e-01,1.283569380465562730e-02,1.482279999999999973e+03,3.640123074842389173e+01
4.000000000000000000e+00,6.233025257253281826e-01,1.274712970798784137e-02,3.766974742746487248e-01,1.274712970710809024e-02,1.552799999999999955e+03,4.438702513122504456e+01
5.000000000000000000e+00,6.461770111237585823e-01,1.248896978410108001e-02,3.538229888760826558e-01,1.248896978241451246e-02,1.634960000000000036e+03,6.204416491500226272e+01
6.000000000000000000e+00,6.691888844377957835e-01,1.556957062818379624e-02,3.308111155618936872e-01,1.556957062675005943e-02,1.748599999999999909e+03,7.403923284313526665e+01
7.000000000000000000e+00,6.980790948443588162e-01,1.665972038473255770e-02,3.019209051552267375e-01,1.665972038366254904e-02,1.864920000000000073e+03,9.567909698570531418e+01
8.000000000000000000e+00,7.252499071737137371e-01,1.945241797026176292e-02,2.747500928258161390e-01,1.945241796904337989e-02,1.985000000000000455e+03,1.320947235887944089e+02
9.000000000000000000e+00,7.481897493280152966e-01,2.480289279949601106e-02,2.518102506713896238e-01,2.480289279788686768e-02,2.133320000000000618e+03,1.571842282164467122e+02
1.000000000000000000e+01,7.730943716227012263e-01,2.552844681576091346e-02,2.269056283766260618e-01,2.552844681322303036e-02,2.304800000000000182e+03,1.729542367217410117e+02
1.100000000000000000e+01,7.995321114643311189e-01,2.489101722094531899e-02,2.004678885350115181e-01,2.489101721883255069e-02,2.506939999999999600e+03,1.976060535509982685e+02
1.200000000000000000e+01,8.260739779424646212e-01,2.374689265183982032e-02,1.739260220568688842e-01,2.374689264993313717e-02,2.747740000000000691e+03,2.036632328133873386e+02
1.300000000000000000e+01,8.525920660658552475e-01,2.221831901640390627e-02,1.474079339335271910e-01,2.221831901501177681e-02,2.996659999999999854e+03,2.218200540979106279e+02
1.400000000000000000e+01,8.770369135801487914e-01,2.108259201355185825e-02,1.229630864194887208e-01,2.108259201313921610e-02,3.238439999999999600e+03,2.416793214157967498e+02
1.500000000000000000e+01,8.988706882948294119e-01,1.990112573133333632e-02,1.011293117049038709e-01,1.990112573124461562e-02,3.492159999999999854e+03,2.394360507525965716e+02
1.600000000000000000e+01,9.188908164948544899e-01,1.798345552987755391e-02,8.110918350498023954e-02,1.798345553006388750e-02,3.751640000000000327e+03,2.097172153162443351e+02
1.700000000000000000e+01,9.371746266888498766e-01,1.446327695974581815e-02,6.282537331105493561e-02,1.446327696004492437e-02,4.002559999999999945e+03,1.944463072418708123e+02
1.800000000000000000e+01,9.537364899878204572e-01,1.189082660113939191e-02,4.626351001214829700e-02,1.189082660151874124e-02,4.232900000000000546e+03,1.899497249274134560e+02
1.900000000000000000e+01,9.658237049275346653e-01,1.186480071257989266e-02,3.417629507251325471e-02,1.186480071306683301e-02,4.428960000000000036e+03,1.832120476387947292e+02
