Wins,Theta,OmegaBefore,TimestepsStd,RewardMean,NormDeltaVar,RewardStd,Omega,ITERATIONS,NormDeltaOmega,ReturnsStd,ConfortViolation,ReturnsMean,Traj,TimestepsMean,DeltaOmega
0.0,0.21131878,0.8,0.0,2.321,0.9899990974410358,2.388086891216482,0.78868122,0,0.011318776131252761,61.484550905085094,0,1160.5,20,500.0,-0.01131878
0.0,0.20366079,0.78868122,0.0,2.3554,0.665356875679727,2.435670511378746,0.79634767,1,0.00766644846019604,65.3980886570854,0,1177.7,20,500.0,0.00766645
0.0,0.19466395,0.79634767,0.0,2.3598,0.8059360336652119,2.4295974892973526,0.79292828,2,0.003419391603616817,69.29206303755143,0,1179.9,20,500.0,-0.00341939
0.0,0.1927389,0.79292828,0.0,2.356,0.17608275687367225,2.4228214956946377,0.79387686,3,0.0009485840072889218,52.933921071464184,0,1178.0,20,500.0,0.00094858
0.0,0.19513947,0.79387686,0.0,2.3366,0.21937519053530963,2.418739432018257,0.79799987,4,0.004123006875560775,57.66550095160884,0,1168.3,20,500.0,0.00412301
0.0,0.19237908,0.79799987,0.0,2.356,0.2524365962817683,2.4396032464316817,0.79636761,5,0.001632259796607638,69.37434684377216,0,1178.0,20,500.0,-0.00163226
0.0,0.18977012,0.79636761,0.0,2.358,0.24113646641285413,2.444715934418557,0.79626651,6,0.00010110475099067706,65.33452379867784,0,1179.0,20,500.0,-0.0001011
0.0,0.18597411,0.79626651,0.0,2.3568,0.35543086486075026,2.422043302668224,0.79692428,7,0.0006577688314990393,55.550337532727916,0,1178.4,20,500.0,0.00065777
0.0,0.18275436,0.79692428,0.0,2.384,0.30588581431040396,2.467983792491353,0.80130245,8,0.004378169492284534,43.92265930018355,0,1192.0,20,500.0,0.00437817
0.0,0.17997199,0.80130245,0.0,2.351,0.2677221484631893,2.437457486808744,0.80679133,9,0.005488879638887445,57.249890829590235,0,1175.5,20,500.0,0.00548888
0.0,0.1785037,0.80679133,0.0,2.3702,0.14258315455770543,2.463361922251783,0.81233646,10,0.005545135280406566,63.76982044823397,0,1185.1,20,500.0,0.00554514
0.0,0.17649708,0.81233646,0.0,2.3706,0.19635221411175863,2.466709476205092,0.81852895,11,0.006192489798602652,44.753882513140695,0,1185.3,20,500.0,0.00619249
0.0,0.1751871,0.81852895,0.0,2.3882,0.1291322300790334,2.471133497000921,0.82550628,12,0.00697733350896268,50.14568775079269,0,1194.1,20,500.0,0.00697733
0.0,0.17276831,0.82550628,0.0,2.32,0.24044792625769773,2.4033310217279684,0.83295677,13,0.007450485797073969,77.41317717288187,0,1160.0,20,500.0,0.00745049
0.0,0.16998211,0.83295677,0.0,2.3946,0.2802957095348013,2.4830406440491464,0.84055784,14,0.007601070361313966,77.75930812449401,0,1197.3,20,500.0,0.00760107
0.0,0.16623442,0.84055784,0.0,2.3578,0.38284663376244055,2.448750530372582,0.84492512,15,0.004367275946449034,61.21266208881949,0,1178.9,20,500.0,0.00436728
0.0,0.16290068,0.84492512,0.0,2.4256,0.34640986001845775,2.497611787288008,0.84964039,16,0.004715279203518108,53.6559409571764,0,1212.8,20,500.0,0.00471528
0.0,0.15916865,0.84964039,0.0,2.3834,0.39463966736118294,2.466699097984997,0.85433695,17,0.004696554212969439,46.399461203768304,0,1191.7,20,500.0,0.00469655
0.0,0.15536365,0.85433695,0.0,2.4062,0.41015526180695616,2.487770399373704,0.85769309,18,0.0033561411346609837,67.77455274658772,0,1203.1,20,500.0,0.00335614
0.0,0.15110095,0.85769309,0.0,2.4588,0.4693492798139438,2.545879525822068,0.86193299,19,0.004239903861949279,60.01366511053961,0,1229.4,20,500.0,0.0042399
