Omega_gpomdp, Omega_remps, Return_gpomdp, Return_remps
7.899999998510775612e+00,9.960025496985730697e+00,1.981458951066936606e+03,1.792008289677736002e+03
6.899999998510657484e+00,1.295473216038496211e+01,2.005409582492882009e+03,1.987525219936434041e+03
1.510000000148273891e+01,2.400721060699064680e+01,-1.470754292938469021e+01,3.871876847140425753e+02
1.910000000148736632e+01,2.704708338296158843e+01,-5.258235454511706308e+01,-1.301646198168920989e+02
4.899999998510677024e+00,2.704646384732151887e+01,2.005460072011102056e+03,-1.338845107556247740e+02
3.899999998510596644e+00,1.095840988709494823e+01,2.005562932045369280e+03,1.737597961361181888e+03
2.010000000148754040e+01,2.806388444586084319e+01,-5.993682983891878280e+01,-1.457238893901958079e+02
2.789999999851042745e+01,2.806365795060929713e+01,-7.267744496878029281e+01,-1.272279970403165805e+02
2.010000000148806620e+01,3.981914409651885478e+00,-6.030454451293864082e+01,1.896341225394858384e+03
2.489999999851179169e+01,2.908104427409189086e+01,-7.241903960966060083e+01,-1.316630843183180559e+02
2.489999999851179524e+01,1.896955909610809243e+01,-8.802863089676320385e+01,7.482601215827766055e+02
2.110000000148762567e+01,7.966445132480787450e+00,-6.919082825495311795e+01,1.949214826387403946e+03
8.899999998510962129e+00,9.955915919866815678e-01,2.005512229182186957e+03,4.671451463778050766e+02
8.899999998510885746e+00,1.796546801714447739e+01,2.003076695455266417e+03,1.981294776684918588e+03
9.899999998511139765e+00,1.495587810443365306e+01,2.005628867760684898e+03,1.967319628783915505e+03
1.910000000148784949e+01,6.969971488793492043e+00,-5.231877370548164663e+01,2.003746258160978414e+03
5.899999998510534915e+00,2.199027696506701801e+01,2.000295035686400070e+03,4.290823875524733921e+02
8.899999998510926602e+00,1.696199272257282686e+01,2.005471154177033895e+03,1.989707162674722895e+03
2.389999999851453438e+01,1.696166885636247201e+01,-8.436372088230228883e+01,1.994048982650289418e+03
1.910000000148796673e+01,1.495560161342942074e+01,-5.108653489080703736e+01,1.634681635849992290e+03
